model_id,org,downloads,likes,tags,created_at,card_chars
lodestones/Chroma1-HD,lodestones,72626,403,"diffusers,safetensors,text-to-image,license:apache-2.0,diffusers:ChromaPipeline,region:us,deploy:azure",2025-08-08 10:23:39+00:00,8049
Qwen/Qwen-Image-2512,Qwen,71751,947,"diffusers,safetensors,text-to-image,en,zh,arxiv:2508.02324,license:apache-2.0,diffusers:QwenImagePipeline,region:us,deploy:azure",2025-12-30 02:29:01+00:00,15246
krea/Krea-2-Raw,krea,71268,651,"diffusers,safetensors,text-to-image,en,license:other,diffusers:Krea2Pipeline,region:us",2026-06-18 05:24:15+00:00,7562
thibaud/controlnet-openpose-sdxl-1.0,thibaud,71189,431,"diffusers,stable-diffusion-xl,stable-diffusion-xl-diffusers,text-to-image,controlnet,base_model:stabilityai/stable-diffusion-xl-base-1.0,base_model:adapter:stabilityai/stable-diffusion-xl-base-1.0,license:other,region:us",2023-08-13 18:14:13+00:00,2463
krea/Krea-2-Turbo,krea,70518,1105,"diffusers,safetensors,text-to-image,en,base_model:krea/Krea-2-Raw,base_model:finetune:krea/Krea-2-Raw,license:other,diffusers:Krea2Pipeline,region:us",2026-06-18 04:50:10+00:00,7140
black-forest-labs/FLUX.1-Krea-dev,black-forest-labs,70507,904,"diffusers,safetensors,text-to-image,image-generation,flux,en,base_model:black-forest-labs/FLUX.1-dev,base_model:finetune:black-forest-labs/FLUX.1-dev,license:other,endpoints_compatible,diffusers:FluxPipeline,region:us",2025-07-07 10:39:11+00:00,7587
John6666/obsession-illustriousxl-v10-sdxl,John6666,69492,1,"diffusers,safetensors,text-to-image,stable-diffusion,stable-diffusion-xl,anime,girls,illustrious,en,base_model:OnomaAIResearch/Illustrious-xl-early-release-v0,base_model:finetune:OnomaAIResearch/Illustrious-xl-early-release-v0,license:other,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us",2024-10-03 08:59:56+00:00,183
OnomaAIResearch/Illustrious-xl-early-release-v0,OnomaAIResearch,69139,429,"diffusers,safetensors,text-to-image,en,arxiv:2409.19946,base_model:KBlueLeaf/kohaku-xl-beta5,base_model:finetune:KBlueLeaf/kohaku-xl-beta5,license:other,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us",2024-09-20 14:56:38+00:00,16653
cagliostrolab/animagine-xl-3.0,cagliostrolab,68661,775,"diffusers,safetensors,text-to-image,stable-diffusion,stable-diffusion-xl,en,base_model:Linaqruf/animagine-xl-2.0,base_model:finetune:Linaqruf/animagine-xl-2.0,license:openrail++,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us",2023-11-23 03:57:11+00:00,12175
Laxhar/noobai-XL-Vpred-1.0,Laxhar,68436,71,"diffusers,safetensors,stable-diffusion,stable-diffusion-xl,art,not-for-all-audiences,text-to-image,en,base_model:Laxhar/noobai-XL-Vpred-0.75,base_model:finetune:Laxhar/noobai-XL-Vpred-0.75,license:other,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us",2024-12-22 06:16:42+00:00,11209
qujincheng/Z-Image-Lora,qujincheng,67920,1,"diffusers,text-to-image,lora,safetensors,z-image,base_model:Tongyi-MAI/Z-Image,base_model:adapter:Tongyi-MAI/Z-Image,license:apache-2.0,region:us",2026-08-16 16:10:28+00:00,23522
nvidia/Cosmos3-Super-Text2Image-4Step,nvidia,67525,14,"cosmos,diffusers,safetensors,cosmos3_omni,nvidia,cosmos3,vllm-omni,text-to-image,image-generation,arxiv:2405.14867,license:other,region:us",2026-07-07 01:00:22+00:00,33187
